OBJECTID,artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location,F2010_Census_Neighborhoods,F2010_Census_Wards_Precincts,Zip_Codes,GlobalID
112,Glazer,Helen,,Unknown,1995,tactile relief mural,21214,Garrett Heights ES,2800 Ailsa Ave.,PS 231,"Interior; cafeteria lobby",,,,,"2800 Ailsa Ave.21214
(39.348378845210746, -76.56843165621679)",136,223,27291,6b157e71-636d-470c-a004-406f1955585f
113,Miller,Thomas,,Unknown,,acrylic on canvas,21210,Roland Park E/MS,5207 Roland Ave.,PS 233,Gymnasium,,,,,"5207 Roland Ave.21210
(39.35696055353293, -76.63479789406995)",265,254,14004,a1a2b36b-8295-4d8f-84b6-3b1165e96e1a
114,Carfagno Ferguson and Van Tassell,Mary and Terry,,,1999,mural,21230,W. Ostend and James Sts.,W. Ostend and James Sts.,,Side of wall facing W. Ostend St.,Skateboarders,Visible,,,"W. Ostend and James Sts.21230
(39.266940000000034, -76.62630000000001)",258,151,27953,7f8c90ce-b6f2-4a5e-a441-55e48fd770ec
115,Krebs,Rockne,,The Vine Covered Pasarelle,,,21215,"Reisterstown Plaza Station, subway","Reisterstown Plaza Station, subway",,,,,,,"Reisterstown Plaza Station, subway21215
(39.34556999999995, -76.68362000000002)",5,244,27295,924aa1a0-7ac3-4171-9e5b-f5a6af0a7b08
116,Meizlik,Jeffrey N.,,Unknown,,clay,21230,Francis Scott Key E/MS,1425 E. Fort Ave.,PS  76,Entrance lobby wall,,,,,"1425 E. Fort Ave.21230
(39.26921370313414, -76.59438236207319)",137,169,27953,b9e29100-eb63-4181-87d1-adca8797cc20
117,Myron of Eleuthera (copy),,,The Discus Thrower,,,21218,Baltimore Museum of Art,10 Art Museum Drive,,,,,,,"10 Art Museum Drive21218
(39.325933943522045, -76.61823238229022)",123,13,27307,09c42b9c-35a9-4772-b19d-7d0f551e5f23
118,unknown,,,Serviceman's Memorial,1945,,21223,Wilkens Ave. and Gilmore St.,Wilkens Ave. and Gilmore St.,,,,,,Y,"Wilkens Ave. and Gilmore St.21223
(39.28356688272174, -76.64210038894782)",159,9,27632,ab25e6fa-5a32-40f1-9ebd-e68886e643f1
119,"Burton, designer",Scott,,Pearlstone Park,1985,brick and concrete,21217,Preston St. and Cathedral St.,Preston St. and Cathedral St.,,,,,,Y,"Preston St. and Cathedral St.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,4b67fd7c-4036-424e-959e-b1817411d71c
120,Carfagno Ferguson,Mary,,,1996,mural,21230,886 Washington Blvd.,886 Washington Blvd.,,Side of building,Aqueduct with trees and bushes,Very visible,,,"886 Washington Blvd.21230
(39.282892391199766, -76.63094879578455)",250,168,27953,f19a2e02-730f-4794-84fd-d406d15623ce
121,Lewis,James,,Unknown,1971,brass,21223,Southwestern Sr. HS,200 Font Hill Ave.,PS 412,Auditorium,,,,,"200 Font Hill Ave.21223
(39.28353990306084, -76.66253298545354)",35,76,27632,3c89b822-9e64-40b3-b3bf-429b291b8719
