OBJECTID,artistLastName,artistFirstName,image,titleOfArtwork,dateOfArtwork,medium,zipcodes,locationOfArtwork,addressOfArtwork,publicSchoolNumber,siteOfArtwork,descriptionOfArtwork,visibility,indoorOutdoorAccessible,monument,location,F2010_Census_Neighborhoods,F2010_Census_Wards_Precincts,Zip_Codes,GlobalID
346,Odeleye,Ayokunle,,The Guide,1978,painted steel,21218,Baltimore City College,33rd St. and The Alameda,PS 480,In front of the school,,,,,"33rd St. and The Alameda21218
(39.32849701130556, -76.59533564342422)",77,186,27307,371d0bf2-d966-401b-888c-f5c7c51dc0dc
347,Popkin and Van Allen,Spoon and Dan,,,2003,mural,21213,North Ave and Harford Road,North Ave and Harford Rd.,,Restoration of Tom Miller Murals- Two murals on west and east side of Harford Rd. at North Ave.,"""Never Forget the Source"" and collage of city life",Visible from street,,,"North Ave and Harford Rd.21213
(39.316199999999924, -76.57662999999991)",276,194,26956,b7e17476-ffb8-483c-9fbd-4110eccc6afb
348,unknown,,,Lions,c.1857,iron,21217,Baltimore Zoo,Druid Hill Park,,,,,,,"Druid Hill Park21217
(39.316007473609055, -76.64384898808959)",190,21,27301,d857453d-73c2-4d7b-a874-bb52d6449990
349,unknown,,,Sailor and Canton,,,21230,Koppers Company,Bush and Hamburg Sts.,,,,,,,"Bush and Hamburg Sts.21230
(39.266940000000034, -76.62630000000001)",258,151,27953,a5ff49d7-d176-4f89-8179-149badb8f1e3
350,Franklin,Angela,,Unknown,1997,ceramics,21212,Guilford ES,4520 York Rd.,PS 214,"Interior; between cafeteria and library",,,,,"4520 York Rd.21212
(39.3440443106837, -76.60963380775476)",99,205,14009,ca97f49d-f3d8-4ac8-94e0-560fb279d0ec
351,Paulsen,James R.,,Untitled,1975,bronze,21231,General Wolfe ES,245 S. Wolfe St.,PS  23,Entrance plaza,,,,,"245 S. Wolfe St.21231
(39.2886657946574, -76.5901938544247)",240,287,27954,944d0548-16de-4add-8bdc-1f2c1ac29bbe
352,Streett,Tylden,,unknown,1980,epoxy resin,21218,Waverly ES,700 E. 34th St.,PS  51,Front wall over entrance,,,,,"700 E. 34th St.21218
(39.32990081713007, -76.6062952313343)",251,182,27307,4d852e76-8285-457a-aaf8-1b8c42ebe575
353,Beckman,Ronald,,Unknown,1968,plaques,21223,Steuart Hill ES,30 S. Gilmore St.,,Interior,,,,,"30 S. Gilmore St.21223
(39.2871969372407, -76.64236831857609)",236,9,27632,b65e0adb-49ed-4d48-9eff-135c906038cc
354,Wotruba,Fritz,,Man Walking,,,21218,The Wurtzburger Sculpture Garden,10 Art Museum Dr.,,,,,,,"10 Art Museum Dr.21218
(39.325933943522045, -76.61823238229022)",123,13,27307,cb353016-aed0-4980-8148-600aa3a46fdd
355,Lawrance,Charles,,Leaden Hall Tribute,2008,mural,21230,Bevan St & West Hamburg Street,114 Hamburg Street,,side of rowhouse,scene of neighbors planting trees,Visible from Eastward Traffic,,,"114 Hamburg Street21230
(39.27833151021881, -76.61192395611208)",67,165,27953,f21990f6-33da-4317-a72c-40ce5368b157
356,Russum,Olin,,The Nest,1970,ceramic bas relief,21217,Samuel Coleridge Taylor ES,507 W. Preston St.,PS 122,Exterior,,,,,"507 W. Preston St.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,4d422091-670f-4e8e-b231-cca0d726f989
357,Turnbull,Grace,https://data.baltimorecity.gov/views/5xsg-uc29/files/xbDtUN8d1IZnRiLdzW2AJ-ehNCUlu-ioHUTNqTnlTL8?filename=38b_Turnbull+G_1956.jpg,King Penguin,1956,marble,21202,Inner Harbor Promenade,West Shore Park,,Near Police stand,,,,,"West Shore Park21202
(39.297300000000064, -76.60749999999996)",196,108,13645,de933180-bf14-4c8c-8848-22de46d1511e
358,Garmey,Stephanie,,,1988,mural,21205,Ashland Ave. and N. Washington St.,Ashland and Washington Sts.,,,,,,,"Ashland and Washington Sts.21205
(39.302410000000066, -76.56324999999987)",181,145,13987,7ab1bbc6-1bd6-48ad-a176-8fcb1de9770d
359,Jacobson,Patrick,,,1999,mural,21230,765 W. Cross St.,765 W. Cross St.,,Side of building,Squid and fish with blue background,Limited visibility,,,"765 W. Cross St.21230
(39.27977174375809, -76.62786412122404)",250,178,27953,a716f415-26f1-4035-b676-fcee7ac46f16
360,Shermeta,Margo,,Unknown,1978,fiber,21218,Baltimore City College,33rd St. and The Alameda,PS 480,Interior,,,,,"33rd St. and The Alameda21218
(39.32849701130556, -76.59533564342422)",77,186,27307,b7d3ffa7-f51c-4e5c-84b9-a470e45ee040
361,Streett,Tylden,,suspended aircraft 1890-1912,1975,,21215,Fallstaff MS,3801 Fallstaff Rd.,PS 241,Interior,,,,,"3801 Fallstaff Rd.21215
(39.36280614672336, -76.705457625912)",48,245,27295,e285854b-9937-4790-bdfa-a6a0398e4888
362,Aselage,Robert L.,,Unknown,1979,mural,21229,Robert Coleman ES,2095 N Warwick Ave.,PS 142,Interior,,,,,"2095 N Warwick Ave.21229
(39.284350000000074, -76.69003999999995)",122,51,27950,7bae6005-5fb1-4b0a-96f7-31793571dfa3
363,Mack,Nathaniel,,The Human Dance,1977,weathering steel,21215,Park West Multi-Service Center,3309-19 W. Belvedere Ave.,,Sidewalk out front,,,,,"3309-19 W. Belvedere Ave.21215
(39.34556999999995, -76.68362000000002)",5,244,27295,ce578cd3-dde2-4420-aeb4-bfb272c8b739
364,Moring,Greg,,Unknown,,aluminum,21207,Liberty ES,3901 Maine Ave.,PS  64,"Interior; cafeteria",,,,,"3901 Maine Ave.21207
(39.326392597757035, -76.68362208704065)",41,64,13995,450b3e06-8c41-4887-ab94-fdb2a98712cc
365,Reed,James Earl,,Unknown,1983/03,epoxy resin,21229,Lyndhurst ES,621 Wildwood Pkwy.,PS  88,Exterior,,,,,"621 Wildwood Pkwy.21229
(39.29529404198382, -76.6839278565306)",76,278,27950,4708899b-7f69-4dda-8893-0659c936750a
366,Leizman,William,,Unknown,,weathering steel,21224,Southeast MS,6820 Fait St.,PS 255,"Interior; hallway off main lobby",,,,,"6820 Fait St.21224
(39.28482430743772, -76.53075540992066)",94,135,27935,c7429f2b-97db-4d0f-b5ba-0cd46c56a366
367,Wells,Betty,,Unknown,1972,mosaic tile,21202,Charles Carroll Elementary School,200 N. Central Ave.,,Wall facing Orleans St.,,,,,"200 N. Central Ave.21202
(39.29393606571955, -76.59984124679102)",171,108,13645,96318987-fe91-4018-8b23-f9efb77d1e7e
368,Shrady,Frederick,,Unknown,1972,sculptural panel and mura,21217,George G. Kelson ES,701 Gold St.,PS 157,Interior,,,,,"701 Gold St.21217
(39.306773101610375, -76.64027621130414)",221,22,27301,6b23e818-881c-4f5e-bfe4-b48444a1aa4c
369,"Keyser, designer",William,,Cannonball and Rack,,,21201,211 E. Redwood Street,211 E. Redwood St.,,,,,,,"211 E. Redwood St.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,7ff61c6d-57d4-43c0-881a-5205a5d0f6a6
370,Speiregen,Paul D.,,Vietnam Veteran's Memorial Monument,1989,granite and aluminum?,21225,Middle Branch Park,2825 S. Hanover St.,,Near Patapsco river,,,,Y,"2825 S. Hanover St.21225
(39.253452316703886, -76.61665320393509)",143,146,27937,94606b1d-0daf-41f8-b8e3-08342ee32245
371,Moring,Greg,https://data.baltimorecity.gov/views/5xsg-uc29/files/dpCTwJi9XZAeHZifnej64LkuDi-5EMomz6iWona_GuY?filename=154a_Moring+G_1987.jpg,Fan Figure,1987,stainless steel,21201,Baltimore Convention Center,1 W. Pratt St.,,Between Hopkins Pl. and Charles St.,Approx. 30' stainless steel fan that gently sways with the wind,Highly Visible,Outdoor Accessible,,"1 W. Pratt St.21201
(39.28646269965611, -76.61616394162286)",241,6,13642,5e36e7fc-42e5-441b-aeaf-0f7c8ef5d444
372,Cordon-Douglas,Emily,,Grasshopper's Revenge,2008,mural,21213,Movie Shed at Herring Run Park,3900 Belair Road,,movie shed building,"brightly painted grasshopper, nature scene","Visible, must drive into park area several meters",,,"3900 Belair Road21213
(39.316199999999924, -76.57662999999991)",276,194,26956,9c609a78-d6b2-4d4e-a162-7ac68fb91563
373,Carfagno Ferguson,Mary,,,1998,mural,21230,1219 Bayard St.,1219 Bayard St.,,Side of building,Men playing horseshoes,Visible,,,"1219 Bayard St.21230
(39.2790342996941, -76.6360119788095)",250,177,27953,16b2adfc-382c-4a53-a868-02a10e3c682f
374,Shore and Students,Tony,,,2000,mural,21230,Morrell Park ES,2601 Tolley St.,,"Side of ""portable classrooms,"" condemned by the city.  The classrooms, and therefore the murals, will be destroyed","Underwater scenes, with fish",Limited visibility,,,"2601 Tolley St.21230
(39.263889716720655, -76.65110260246115)",162,164,27953,3787c31a-dac4-4d56-9377-a94415583b37
375,Haliday and Bauer,Robert and Irvin,,Cook's Memorial,1941,,21213,Clifton Park,Clifton Park,,Rose garden,,,,Y,"Clifton Park21213
(39.316199999999924, -76.57662999999991)",276,194,26956,c95854b7-a4ba-4243-b8e8-640210a0c2b0
376,Ono,Setsuko,https://data.baltimorecity.gov/views/5xsg-uc29/files/H9_XBJQM-pVS7Kvpggff-JWGpSeS04-7bz2e1RJUPo0?filename=714_Ono+S_2005.JPG,Dreams,2005,Painted Steel,21201,"Hopkins Plaza, just outside Mercantile Building",Baltimore & Charles Sts.,,Inside Plaza,Purple and Gold painted Steel,Very Visible,outdoor accessible,,"Baltimore & Charles Sts.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,8175290b-8d1b-4b25-bfe6-976c154f2681
377,Schiff,Jeff,https://data.baltimorecity.gov/views/5xsg-uc29/files/yobWkMIa1UPnqG45_Bq4A4c-v1tTiKYhZ_IsOjfr_VI?filename=405c_Schiff+J_1991.JPG,Untitled (horse in pedestal),1991,bronze,21201,Liberty Plaza off Charles Center,Liberty Plaza off Charles Center,,"Plaza entrance by BG&E building, closer to Liberty and Lexington St.","Horse; now enclosed with cement for safety reasons",Very visible,,Y,"Liberty Plaza off Charles Center21201
(39.294880000000035, -76.62253999999996)",224,90,13642,0b9971c2-0c3c-406a-b7dc-8187cc35258a
378,Shore and Area skateboarders,Tony,,,2000,mural,21230,James St. near Ramsey St.,James St. near Ramsey St.,,Side of wall on James St.,Skateboarders,Limited visibilty,,,"James St. near Ramsey St.21230
(39.266940000000034, -76.62630000000001)",258,151,27953,6b9dc31b-398d-40ed-9fd8-e914314e96b5
379,de Weldon,Felix,,Simon Bolivar Monument,1961,bronze,21218,Bedford Square,St. Paul and Charles Sts.,,Bedford Square,,,,Y,"St. Paul and Charles Sts.21218
(39.32947000000013, -76.60331999999988)",77,186,27307,40c18d5d-46f5-4228-91cb-e57c6df9df0f
380,unknown(after A. Weinman model?),,,Lions,,,21218,Baltimore Museum of Art,10 Art Museum Dr.,,,,,,,"10 Art Museum Dr.21218
(39.325933943522045, -76.61823238229022)",123,13,27307,6d329d3d-72ea-48da-8d27-c5e67a1d8de3
381,Leizman,William,,Unknown,1968,weathering steel,21229,Rognel Heights ES,4300 Sidehill Rd.,PS  89,Over entrance facade facing Wicklow/ Rec Center,,,,,"4300 Sidehill Rd.21229
(39.2977312046832, -76.69203074801459)",213,54,27950,9abedc22-8171-415e-93c2-d14731e984e6
382,Berge,Edward,,World WarI Memorial,1921,bronze,21213,Bel Air Rd. and Shannon Dr.,Bel Air Rd. and Shannon Dr.,,,,,,Y,"Bel Air Rd. and Shannon Dr.21213
(39.32572709945532, -76.56834698932494)",275,199,26956,98192711-0bad-4784-8596-464a1efb275f
383,,,,Sundial,,,21217,Druid Hill Park,Druid Hill Park,,,,,,,"Druid Hill Park21217
(39.316007473609055, -76.64384898808959)",190,21,27301,2e268aae-1cb9-4870-893a-6cd9e89be82b
384,Shore,Tony,,,2000,mural,21223,900 Ostend St.,900 Ostend St.,,CAN NOT LOCATE,CAN NOT LOCATE,N/A,,,"900 Ostend St.21223
(39.28365000000008, -76.65196999999989)",36,279,27632,3f49488a-d520-4df5-a935-613f054adde7
385,unknown,,,Tachigata: Lantern and Garden Stones,,,21202,Inner Harbor Promenade,Inner Harbor Promenade,,,,,,,"Inner Harbor Promenade21202
(39.297300000000064, -76.60749999999996)",196,108,13645,c73c9e7f-d0c1-4c94-9d68-ca7936f6a47f
386,Carfagno Ferguson,Mary,,,2000,mural,21231,1644 E. Pratt St.,1644 E. Pratt St.,,Side of building,Building with garden,Very visible,,,"1644 E. Pratt St.21231
(39.28920563184545, -76.59420249766731)",68,111,27954,b9100c35-d519-4c34-908f-7caa85e73068
387,Moring,Greg,,Untitled,1980,steel,21202,Park at Lombard and Commerce Sts.,400 E. Lombard St.,,Northeast corner of intersection,,,,,"400 E. Lombard St.21202
(39.28781168270007, -76.60995861962067)",65,6,13645,f5047541-f04d-4249-923d-7d289849d343
388,Kirby,Michael,,Three Baltimores,2005,mural (non-city funded),,Key Highway under I95,Key Highway under I95,,Key Highway under I95,"Three aspects of Baltimore: ships, railroad, workers (steel?)",Very visible,,,Key Highway under I95,,,,a0200855-be56-412a-a7d7-596cb737be14
389,Kissack and Ross,Lyle and Gerald,,,1997,mural,21205,1000 N. Patterson Park Ave.,1000 N. Patterson Park Ave.,,Side of building,Images of steel industry,Visible,,,"1000 N. Patterson Park Ave.21205
(39.30189570183552, -76.58539753018476)",152,125,13987,8e0aaf1b-4707-4fed-915d-a27e8015df4d
390,Bufano,Benjamin,,Penguin's Prayer,1958,cast granite,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University21218
(39.32947000000013, -76.60331999999988)",77,186,27307,e81d96ab-acec-4fda-a12a-09198424f61b
391,"Lewis, architect",William Albert,,Serviceman's Memorial,1950,,21213,Clifton Park,Sinclair Lane and Wolfe St.,,,,,,Y,"Sinclair Lane and Wolfe St.21213
(39.31415282493822, -76.59184627395058)",226,155,26956,e6386961-7b29-4f30-a27b-d10d6e5bc1d5
392,Barye,Antoine Louis,https://data.baltimorecity.gov/views/5xsg-uc29/files/2p1LEZ0sgRQ2sKfYMsymqYzIsYCmjjhHtwwDyjNnMPc?filename=422a_Barye+A_1885.JPG,Force,1885,bronze,21201/02,Mount Vernon Pl.,Mount Vernon Pl.,,NW corner of Washington Monument,,highly visible,outdoor accessible,,"Mount Vernon Pl.21201/02
(39.29730928950913, -76.61563717252402)",165,92,13645,3d48f6fc-932a-4dba-82e5-59dbd6d871c7
393,Mosley,Quentin,,,1990,mural,21215,4000 Reistertown Rd.,4000 Reistertown Rd.,,Side of Charm City Motors,,Limited visibility,,,"4000 Reistertown Rd.21215
(39.33384558374571, -76.6641132885438)",232,70,27295,1af91256-4064-4cfa-8a03-94fc80ad744b
394,unknown,,,Veterans of Foreign Wars Monument,1945,,21224,Ponca St. and Eastern Ave.,Ponca St. and Eastern Ave.,,,,,,Y,"Ponca St. and Eastern Ave.21224
(39.28712819795777, -76.55497407074927)",203,139,27935,c9b44e4d-c10f-4a5e-ae99-5dc0b4f0ba38
395,In Progress,,,,2000,mural,21217,2258 Linden Ave.,2258 Linden Ave.,,CAN NOT LOCATE,CAN NOT LOCATE,N/A,,,"2258 Linden Ave.21217
(39.31372115036419, -76.63547238559192)",210,17,27301,3ae54f93-76b3-4060-bcb3-6d0484a2cfe4
396,Monroe,John,,Repeal,,,21217,Druid Hill Park,Druid Hill Park,,Madison Avenue entrance,,,,,"Druid Hill Park21217
(39.316007473609055, -76.64384898808959)",190,21,27301,31ce31ad-7603-4785-9ae1-01f237da8635
397,Berge,Edward,,Sea Urchin,1926,bronze,21218,Johns Hopkins University,N. Charles and 33rd Sts.,,Near Faculty Club,,,,Y,"N. Charles and 33rd Sts.21218
(39.32947000000013, -76.60331999999988)",77,186,27307,576a56c8-e802-4122-af3b-d731b63dfa77
398,"Hodges and Leach, architects",,,Maryland Line Monument,1901,,21217,Mt. Royal Ave. at Cathedral St.,Mt. Royal Ave. at Cathedral St.,,,,,,Y,"Mt. Royal Ave. at Cathedral St.21217
(39.31194000000011, -76.64039000000002)",195,19,27301,5ee543f6-c31c-4e25-8cf5-ed18633a0fe1
399,Therrien,Norman,,Sea Birds,1976,metal,21207,Calvin Rodwell ES,3501 Hillsdale Rd.,PS 253,Exterior,,,,,"3501 Hillsdale Rd.21207
(39.33019672994095, -76.69463878189953)",118,289,13995,57511a75-a009-407e-a918-507cf22667c2
400,Schuler,Hans,,Johns Hopkins Monument,1935,bronze & marble,21230,Federal Hill Park,33rd St E at Charles St,,33rd St E at Charles St,,,,Y,"33rd St E at Charles St21230
(39.266940000000034, -76.62630000000001)",258,151,27953,43739cb4-a441-4c2c-a061-787c2d433357
401,Wilson,Glen,,Unknown,,acrylic paint,21229,Mary Rodman Recreation Center,3600 W. Mulberry St.,,Walls flanking entrance,,,,,"3600 W. Mulberry St.21229
(39.29178668606954, -76.67754267012253)",2,75,27950,15aa3304-a093-4e6d-a020-78d4662a5e02
402,Gottlieb,Richard,,Samurai Rocker,1979,corten steel,21218,Margaret Brent ES,100 E. 26th St.,PS  53,Entrance plaza,,,,,"100 E. 26th St.21218
(39.31945812685201, -76.6159163457684)",277,32,27307,0ff7bc87-113c-47af-9dda-87d70a58f656
403,"DePalma, Ellsberry, Flores, et al","Linda, John, Luis, et al",,,1997,mural (non-city funded),21201,Centre St.,Centre St.,,Side of MD Historical Society,"Eight different pieces of artwork, depicting various scenes",Limited visibility,,,"Centre St.21201
(39.296368731808826, -76.61549394671098)",165,92,13645,256ee35a-2603-4074-b7cf-3b75d6370d78
404,Woman's Mural Project and Ferguson,Mary Carfagno,,My Sister's Garden,1997,mural (non-city funded),21201,Cathedral and Centre Sts.,Cathedral and Centre Sts.,,Side of building with parking lot,Garden with lots of flowers,Very visible from street,,,"Cathedral and Centre Sts.21201
(39.294880000000035, -76.62253999999996)",224,90,13642,32deb789-c25c-47aa-a4b7-2e98a03c8598
405,Zopf,Fernanda,,Unknown,1971,polyester resin,21212,Guilford ES,4520 York Rd.,PS 214,Courtyard,,,,,"4520 York Rd.21212
(39.3440443106837, -76.60963380775476)",99,205,14009,bb69e5f9-953e-4296-946c-d7719aaa08be
406,Boyajian,David,https://data.baltimorecity.gov/views/5xsg-uc29/files/B5hqs5ONbwT0inCXfwzsDCS7DWZZLSf0O95fkM9-W68?filename=698_Boyajian+D_2003.JPG,Aegean Urn,2003,urns,21202,Brookshire Suites,120 E. Lombard St.,,Flanking Brookshire Suites entrance,"Two urns, each with two gigantic wings",Very visible from street,,,"120 E. Lombard St.21202
(39.28780268947975, -76.61239578232005)",65,6,13645,399a3fb1-3be7-47b5-9855-59978da651b9
407,Joyner,William E.,,Unknown,1983,porcelain enameling iron,21217,Frederick Douglass HS,2301 Gwynns Falls Pkwy.,PS 450,"Interior; hallway of music department",,,,,"2301 Gwynns Falls Pkwy.21217
(39.31568167238805, -76.65537438210032)",157,40,27297,34efa708-814d-4808-9afe-b6c25a92b478
408,Marchewka,A,,,2007,mural,21202,"JFX Farmers Market, parking lot",212 Holliday Street,,column in parking lot,one of many painted columns,Very Visible,,,"212 Holliday Street21202
(39.29146211325886, -76.61031346272442)",65,6,13645,3d4af7a8-c5ac-4c39-aa63-2eee3fa0f94a
409,unknown,,,Peace Cross(Victory Cross),1920,granite,21218,Cathedral of the Incarnation,North Charles St. and University Pkwy.,,Episcopal Cathedral Grounds Charles st at University Pkwy,,,,Y,"North Charles St. and University Pkwy.21218
(39.33257094009832, -76.61805251788434)",123,13,27307,f54fcd45-406e-419f-8406-7a67ebc12380
410,Carlberg,Norman,,Unknown,1971,polyester resin,21214,Northern Parkway Jr. HS,2500 E. Northern Pkwy.,,"Entrance plaza, lobby",,,,,"2500 E. Northern Pkwy.21214
(39.36644840094203, -76.56155710800374)",105,260,27291,d499febc-9775-45a1-91dd-5c579b054720
411,unknown,,,Columbus monument,,,21213,Herring Run Park,Harford Rd. and Argonne Dr.,,,,,,,"Harford Rd. and Argonne Dr.21213
(39.316199999999924, -76.57662999999991)",276,194,26956,db23aacf-2769-4390-9578-511f46e04bce
412,Drumm,Don,,Unknown,,weathering steel,21213,Harford Heights ES,1901 N. Broadway,PS  36,"Interior; stairwell",,,,,"1901 N. Broadway21213
(39.31218396061025, -76.59495781180001)",226,155,26956,28c68164-fc5d-4f97-9b45-29fbecb17b3f
413,McRaney,Shawn,,,1999,mural,21216,Walbrook Junction Shopping Center parking lot,3411 Clifton Ave.,,Side of east wall of  Walbrook Junction Shopping Center Parking Lot,"Public transportation, including",Visible (on side wall of Walbrook Junction Shopping Center),,,"3411 Clifton Ave.21216
(39.31096922495453, -76.67455692098531)",164,45,27297,ea653c1b-8456-4ff8-93de-045065803e72
414,Hosler,Danamarie,,,2008,mural,21218,Giant Foods at 33rd and Greenmount,601 East 33rd Street,,mural on parking lot side of building,stylized childen with plants,"Visible from South, side street",,,"601 East 33rd Street21218
(39.328317146899735, -76.6077462874286)",251,181,27307,6964fc09-1f92-4da9-b59f-bc687febc9b9
415,Berge,Henry,https://data.baltimorecity.gov/views/5xsg-uc29/files/9o4fbN5yT23Qh8jaZM9Jga1l_JAYne-tOSqSRn_NdYE?filename=354_Berge+E_1926.JPG,Sea Urchin (enlargement of original by Edward Berg,1959,bronze,21202,South of Monument,Mt. Vernon,,South of Monument,fountain w/ girl standing on an urchin,highly visible,outdoor accessible,,"Mt. Vernon21202
(39.297300000000064, -76.60749999999996)",196,108,13645,5eb37b92-ffe7-47a6-a0f8-6f89b96e565e
416,Waugh,Sidney,,Daniel Coit Gilman,1956,bronze,21218,Johns Hopkins University,N. Charles St.,,Shriver Hall,,,,Y,"N. Charles St.21218
(39.33912699769189, -76.61835828737432)",99,28,27307,992594fb-f8df-4fec-afa1-637c05fdbf6c
417,unknown,,,Granite Memorial Shaft,1943,,21223,Payson St. and Ramsey St.,Payson St. and Ramsey St.,,,,,,Y,"Payson St. and Ramsey St.21223
(39.28365000000008, -76.65196999999989)",36,279,27632,eb7683f1-abf2-4884-aefa-85860b2f8e35
418,Ferguson,John,,Number 10,1978,,21210,Cross Keys Shopping Center,Cross Keys,,,,,,Y,"Cross Keys21210
(39.34921289425051, -76.63108369408891)",214,235,14004,3100df60-aada-4ea0-b8ce-747f22820db0
419,Bonet,Jordi,,Unknown,1969,aluminum wall relief,21213,Lake Clifton HS,2801 St. Lo Dr.,PS  40,Interior,,,,,"2801 St. Lo Dr.21213
(39.31751628932784, -76.58839287735805)",53,198,26956,6e4baf46-1c5c-4232-a362-aa747ae21261
420,Kramer,Reuben,,Unknown,1940,concrete,21231,Frederick Douglas Homes,1500 E. Fayette St.,,Entrance,,,,,"1500 E. Fayette St.21231
(39.293265059648235, -76.59727141683094)",70,108,27954,7bc34e5a-cfd3-4270-87dd-b9c56a802d91
421,unknown,,,Wells and McComas Monument,1850-73,,21202,Gay and Monument Sts.,Gay and Monument Sts.,,,,,,Y,"Gay and Monument Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,96884cb3-381c-40fa-b5e6-0a5249286010
422,Lillie,Lloyd,https://data.baltimorecity.gov/views/5xsg-uc29/files/6iwBMFEftxEgwAygyvHdUVLk5vMq7LVKLvPa2Aujx78?filename=317_Lillie+L_1987.JPG,Mayor Thomas D'Alesandro,1987,bronze,21201,CSX Promenade,1 North Charles St.,,CSX Promenade,2 bronze statues of d'alesandro,moderate,Outdoor accessible,Y,"1 North Charles St.21201
(39.290050994552985, -76.61519267383119)",65,6,13645,6e10a826-9057-4904-a34a-d22ff958f808
423,Silver,Jonathan,https://data.baltimorecity.gov/views/5xsg-uc29/files/Ext_6EFXsI1V1rn4bSjex3C3n257iT0DI5G3iwpU-jI?filename=16b_Silver+J_1984.JPG,Birth of Venus,1984,bronze,21201,Charles Center,31 Hopkins Plaza,,South of the Mechanic Theater,7' cast bronze of Venus,moderate,Outdoor accessible,,"31 Hopkins Plaza21201
(39.289250243493235, -76.61627047323799)",65,6,13642,ca3ab1ef-c623-4aa1-a57d-505b6ab7cc7d
424,unknown,,,Harbor Sound Bell,,,21202,"Fingers Pier, Inner Harbor",,,,,,,,"21202(39.297300000000064, -76.60749999999996)",196,108,13645,a92d2838-ac79-4fe5-93bf-ea6d9ae37553
425,Kasuba,Aleksandra,,Unknown,1969,tiles,21213,Lake Clifton HS,2801 St. Lo Dr.,PS 40,Interior,,,,,"2801 St. Lo Dr.21213
(39.31751628932784, -76.58839287735805)",53,198,26956,1d480b9b-b159-46f4-9820-148e2b94b912
426,Streett,Tylden,,giraffe,1968,stainless steel,21230,Lakeland ES,2921 Stranden Rd.,,exterior,,,,,"2921 Stranden Rd.21230
(39.254161262019814, -76.64520850795124)",134,162,27953,5d50e34e-068f-47d6-8b89-9ac338626eef
427,Bufano,Benjamin,,Dromedary Camel,,,21218,Bufano Sculpture Garden,"Dunning Park, Johns Hopkins University",,,,,,,"Dunning Park, Johns Hopkins University21218
(39.32947000000013, -76.60331999999988)",77,186,27307,80b25238-5840-4b53-9b70-e8e0aa8ee202
428,Edmister,Stan,https://data.baltimorecity.gov/views/5xsg-uc29/files/IcSmzlvzT-jOXeRS7r7POUhtZMgxzsSwt_TTjUG39Eo?filename=694c_Edmister+S_2005.JPG,,2005,bridge repainting,21218,Howard St. Bridge over Jones Falls Expressway,Howard St. Bridge,,Howard St. Bridge over JFX,Bridge,Very visible from street,,,"Howard St. Bridge21218
(39.32947000000013, -76.60331999999988)",77,186,27307,09ca257a-835f-4450-bb3d-dad05786679f
429,Kaslow,Lisa,,The Quest,1984,steel,21224,Canton Jr. HS,801 Highland Ave.,,Over entrance,,,,,"801 Highland Ave.21224
(39.28347427908325, -76.56875161558767)",30,130,27935,d76dc031-d340-41cb-931e-d0e9a0c0cdb5
430,Fraser,Laura Gardin,,Isaiah Bowman,1955,bronze,21218,Johns Hopkins University,N. Charles St.,,Shriver Hall,,,,Y,"N. Charles St.21218
(39.33912699769189, -76.61835828737432)",99,28,27307,1c277b29-5674-4215-aed5-480c802dc5a6
431,Mack,Nathaniel,,Unknown,1978,mural,21202,Baltimore City Jail,401 E. Eager St.,,Kitchen dining facility,,,,,"401 E. Eager St.21202
(39.301167824394156, -76.61079547784391)",196,91,13645,8122e4ed-569c-42a0-b1a6-ad48f197be89
432,Rhoden,John W.,,Unknown,1970,metal wall sculpture,21213,Lake Clifton HS,2801 St. Lo Dr.,PS 40,Interior,,,,,"2801 St. Lo Dr.21213
(39.31751628932784, -76.58839287735805)",53,198,26956,f7cb852d-ad9e-48e2-8e08-6b371b554122
433,Sanborn,James,,Cold Spring Outcrop,1983,limestone,21215,West Cold Spring Station,W. Cold Spring Ln. at Wabash Ave.,,Metro stop,,,,,"W. Cold Spring Ln. at Wabash Ave.21215
(39.33656392990838, -76.67402632098799)",7,69,27295,b1ee3e65-49dd-4fb2-95e3-b4889b353efa
434,Labadie,Kevin,,Unknown,,oil on canvas,21211,Roosevelt Recreation Center,1201 W. 36th St.,,Activity room wall,,,,,"1201 W. 36th St.21211
(39.33073632315853, -76.63557131101516)",102,20,14006,6dfcb77b-a42b-4177-9e36-dd0a43fd31d2
435,"Valk, III",Arthur D.,,Freedom Park,,,21202,Lloyd and Watson Sts.,Lloyd and Watson Sts.,,,,,,,"Lloyd and Watson Sts.21202
(39.297300000000064, -76.60749999999996)",196,108,13645,6b0fd32e-6e6f-4a49-bb72-60dd7ccfddf0
436,Shaw,Ernest,,,2000,mural,21202,1207 E. North Ave.,1207 E. North Ave.,,Side of building with park,,Visible,,,"1207 E. North Ave.21202
(39.31180559444175, -76.60210753830489)",73,193,13645,d6f9dbee-889a-49b0-96d7-926e76f4583e
437,Flood,James,,Unknown,1990,Formica frames,21207,Garrison MS,3910 Barrington Rd.,PS 142,Interior,,,,,"3910 Barrington Rd.21207
(39.33138383501961, -76.68459335483226)",38,64,13995,c83d0b59-a820-43a4-8545-7c3837ccee80
