X,Y,OBJECTID,id,address,downtown,srcid_t,srcid_i,edit_date,ftype,subtype,loc_type,loc_meth,street_tag,city,state,zipcode,x_coord,y_coord,alias1,nghbrhd,cncldst,stfid_blk,plcdst_no,plcdst,usng,cntct_nme,cntct_phn,cntct_dpt,name,gis_id,globalid,url,GlobalID_2
1421758.94127417,593430.231699309,102,107,501 Saint Paul Place,Y, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1421758.94127452,593430.23169818,Designated Landmarks,Mount Vernon,11,245101101002019,1,CENTRAL,18S UJ 60876 50806,Jamie Williams,4103964106,Department of Planning,Standard Oil Building,38_105,{A9EBA67B-097E-493F-BBE2-22CCEC86C412},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,6d1e2582-e83a-42c6-be25-f267c95c3ddd
1426910.49494741,601730.201975973,103,108,2506 Harford Road,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21218,1426910.49494778,601730.20197485,Designated Landmarks,Coldstream Homestead Montebello,14,24510907003000,4,NORTHEASTERN,18S UJ 62501 53301,Jamie Williams,4103964106,Department of Planning,Friends Burial Ground,38_106,{BC375696-DF42-40E5-9A98-11E04B74BC80},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,507c9dea-dffe-4e5e-a727-4e7a82b01cd1
1417690.43956865,605442.071520716,104,109,3355 Keswick Road,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21211,1417690.43956903,605442.07151959,Designated Landmarks,Wyman Park,7,245101306001007,5,NORTHERN,18S UJ 59717 54494,Jamie Williams,4103964106,Department of Planning,Northern District Police Station,38_107,{47866A10-723C-4B82-BB71-E200ADDCF947},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,2e03f157-a8eb-49ef-ace8-eeb54e6aca79
1418057.89618283,594590.806805991,105,110,501 W. Preston Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21201,1418057.89618319,594590.80680485,Designated Landmarks,Heritage Crossing,11,245101702002013,1,CENTRAL,18S UJ 59756 51185,Jamie Williams,4103964106,Department of Planning,Samuel Coleridge Taylor Elementary School No. 122,38_108,{8D96B838-8944-42CE-83DA-4A9E2E2816FF},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,70a85d40-1796-4f72-9327-0ec462e59e3c
1416001.56696217,606452.630851312,106,111,1014 W. 36th Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21211,1416001.56696253,606452.63085018,Designated Landmarks,Hampden,7,245101306003002,5,NORTHERN,18S UJ 59209 54813,Jamie Williams,4103964106,Department of Planning,Grace Hampden Methodist Church,38_109,{E1E1732F-8BD5-4CEB-8317-A228B48716CF},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,6add8f59-0d3b-4751-8f5c-1aa960056dec
1415701.54361207,620824.572579807,107,112,800 W. Lake Avenue,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21210,1415701.54361244,620824.57257868,Designated Landmarks,North Roland Park/Poplar Hill,5,245102713001000,5,NORTHERN,18S UJ 59215 59194,Jamie Williams,4103964106,Department of Planning,DuVal/Hirschhorn House,38_110,{4558E384-F2E7-43B9-97A5-51D405E7FFAE},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,0fa6a477-ddfd-46a4-9f78-b2babce9bb13
1398043.80136857,588318.148747642,108,113,5002 Frederick Avenue,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21229,1398043.80136894,588318.14874652,Designated Landmarks,Ten Hills,8,245102804032000,8,SOUTHWESTERN,18S UJ 53616 49408,Jamie Williams,4103964106,Department of Planning,Patricia Grace Thomas Inn,38_111,{1B451538-9C92-4E77-A37D-E45AB32CF36A},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,c219b8f8-7325-4cab-898e-8fb2afb0e9c8
1423982.53722067,593359.994635077,109,35,416 Oldtown Mall,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21202,1423982.53722103,593359.99463394,Designated Landmarks,Oldtown,12,24510501002013,3,EASTERN,18S UJ 61553 50770,Jamie Williams,4103964106,Department of Planning,Engine House No. 6,38_112,{6F7BD22F-5C29-47F1-AE00-EBF4699D4A88},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,428479fe-a547-49ad-af96-9751307e4608
1422536.86753983,618198.12442066,110,133,5904 York Road,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21212,1422536.8675402,618198.12441952,Designated Landmarks,Rosebank,4,245102712002011,5,NORTHERN,18S UJ 61280 58348,Jamie Williams,4103964106,Department of Planning,Senator Theatre,38_113,{1D1322B4-97A0-4C2D-96BE-12F1CE96339F},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,d33752c6-b012-42c8-a761-5a4e76c98481
1420182.8883239,607889.969512073,111,144,3800 N. Charles Street,N, ,0,2009/03/20 00:00:00+00,38, ,CS,DG_200, ,Baltimore,MD,21218,1420182.88832428,607889.96951094,Designated Landmarks,Tuscany-Canterbury,14,245101201002010,5,NORTHERN,18S UJ 60493 55223,Jamie Williams,4103964106,Department of Planning,Scottish Rite Temple,38_114,{E98DEA07-44C0-4DC2-8541-8474BA90210A},http://www.baltimorecity.gov/Government/BoardsandCommissions/HistoricalArchitecturalPreservation/La*,d8469ff6-5c1e-4746-a1cb-ade75d061811
